,year,sur_temp_change
0,1961,0.1630531914893617
1,1962,-0.013476190476190475
2,1963,-0.006042553191489361
3,1964,-0.07005851063829786
4,1965,-0.24702659574468086
5,1966,0.10550520833333334
6,1967,-0.11083246073298429
7,1968,-0.19910994764397907
8,1969,0.15794210526315788
9,1970,0.09248677248677249
10,1971,-0.20051308900523562
11,1972,-0.08490625
12,1973,0.2293678756476684
13,1974,-0.16303125
14,1975,-0.023494680851063827
15,1976,-0.24591534391534392
16,1977,0.16581621621621623
17,1978,0.06962962962962962
18,1979,0.2337989417989418
19,1980,0.24728795811518325
20,1981,0.17864397905759163
21,1982,0.17649479166666668
22,1983,0.34459473684210523
23,1984,0.08011702127659574
24,1985,0.07128723404255319
25,1986,0.1511578947368421
26,1987,0.4050210526315789
27,1988,0.4900894736842106
28,1989,0.2561684210526316
29,1990,0.5552592592592592
30,1991,0.3681648936170213
31,1992,0.2364903846153846
32,1993,0.21598564593301434
33,1994,0.609514423076923
34,1995,0.6292380952380952
35,1996,0.27922857142857144
36,1997,0.5439951690821256
37,1998,0.971252380952381
38,1999,0.7433014354066986
39,2000,0.6697894736842105
40,2001,0.8501538461538461
41,2002,0.9249999999999999
42,2003,0.8442289719626168
43,2004,0.7778403755868545
44,2005,0.8529905660377358
45,2006,0.8765767441860465
46,2007,1.0225483870967742
47,2008,0.8084103773584906
48,2009,0.910566037735849
49,2010,1.0990418604651164
50,2011,0.8213917050691244
51,2012,0.9022232558139536
52,2013,0.9311990740740741
53,2014,1.114814814814815
54,2015,1.2697731481481482
55,2016,1.4395211267605634
56,2017,1.280785046728972
57,2018,1.3021126760563382
58,2019,1.4430610328638498
59,2020,1.5520377358490565
60,2021,1.343530516431925
61,2022,1.382112676056338
